url,site,product_name,price,checked_at
https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y,amazon,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black : Amazon.in: Electronics",66900,2025-11-27T16:28:18.765291
https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY,amazon,Apple iPhone 15 (128 GB) - Black : Amazon.in: Electronics,52990,2025-11-27T18:30:59.025748
https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y,amazon,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black : Amazon.in: Electronics",66900,2025-11-27T18:31:04.187603
https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY,amazon,Apple iPhone 15 (128 GB) - Black : Amazon.in: Electronics,52990,2025-11-27T20:22:38.584208
https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y,amazon,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black : Amazon.in: Electronics",66900,2025-11-27T20:22:43.561349
https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY,amazon,Apple iPhone 15 (128 GB) - Black : Amazon.in: Electronics,52990,2025-11-27T22:21:27.619977
https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y,amazon,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black : Amazon.in: Electronics",66900,2025-11-27T22:21:32.825470
https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY,amazon,Apple iPhone 15 (128 GB) - Black : Amazon.in: Electronics,52990,2025-11-28T01:28:51.611231
https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y,amazon,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black : Amazon.in: Electronics",66900,2025-11-28T01:28:56.456126
https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY,amazon,Apple iPhone 15 (128 GB) - Black : Amazon.in: Electronics,52990,2025-11-28T03:14:05.179190
https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y,amazon,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black : Amazon.in: Electronics",66900,2025-11-28T03:14:10.068104
https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY,amazon,Apple iPhone 15 (128 GB) - Black : Amazon.in: Electronics,52990,2025-11-28T04:27:07.337242
